0,1,2,3,4,5,6,7,8,9,10
56360.55561838364,58550.593660693165,58855.152232134016,57262.27221756749,53915.32028568606,49026.144096044176,42822.20614822117,35522.22576504888,27325.138700653704,18402.78987153637,8893.038184028484
56475.11451871841,58709.59287152252,59051.999913299886,57487.78841382327,54160.87986739093,49284.99270735109,43089.54632155106,35794.81800187281,27600.838816864867,18680.173612972478,9171.132204627662
56667.469236385376,58987.123714396235,59403.92257698653,57897.25567653207,54611.35443862588,49763.15697858542,43585.72007102491,36302.319744651955,28115.14789747839,19198.220336371003,9690.77335151908
56937.47889691823,59401.02112798545,59947.31030151403,58543.184474139125,55331.83578475746,50534.902476022085,44391.37325413215,37129.63108026752,28955.652397270816,20046.05272613364,10541.76096500729
